combo,train_langs,system,metric,language,value
es,Spanish,G_bio,joint_accuracy,Overall,0.2583
hi,Hindi,A_pipeline,joint_f1,English,0.6917
hi,Hindi,A_pipeline,joint_f1,Spanish,0.6298
hi,Hindi,A_pipeline,joint_f1,Hindi,0.7409
hi,Hindi,A_pipeline,joint_f1,Telugu,0.758
hi,Hindi,A_pipeline,joint_f1,Overall,0.6846
hi,Hindi,A_pipeline,joint_f1_macro_avg,Overall,0.7051
hi,Hindi,A_pipeline,classification_macro_f1,English,0.7577
hi,Hindi,A_pipeline,classification_macro_f1,Hindi,0.7575
hi,Hindi,A_pipeline,classification_macro_f1,Indonesian,0.769
hi,Hindi,A_pipeline,classification_macro_f1,Spanish,0.7189
hi,Hindi,A_pipeline,classification_macro_f1,Telugu,0.774
hi,Hindi,A_pipeline,classification_macro_f1,Overall,0.753
hi,Hindi,A_pipeline,e2e_span_overlap_f1,English,0.5073
hi,Hindi,A_pipeline,e2e_span_overlap_f1,Hindi,0.5906
hi,Hindi,A_pipeline,e2e_span_overlap_f1,Indonesian,0.4826
hi,Hindi,A_pipeline,e2e_span_overlap_f1,Spanish,0.3965
hi,Hindi,A_pipeline,e2e_span_overlap_f1,Telugu,0.6547
hi,Hindi,A_pipeline,e2e_span_overlap_f1,Overall,0.4845
hi,Hindi,A_pipeline,joint_accuracy,Overall,0.4927
hi,Hindi,E_joint,joint_f1,English,0.5009
hi,Hindi,E_joint,joint_f1,Spanish,0.4402
hi,Hindi,E_joint,joint_f1,Hindi,0.5916
hi,Hindi,E_joint,joint_f1,Telugu,0.724
hi,Hindi,E_joint,joint_f1,Overall,0.5331
hi,Hindi,E_joint,joint_f1_macro_avg,Overall,0.5642
hi,Hindi,E_joint,classification_macro_f1,English,0.5407
hi,Hindi,E_joint,classification_macro_f1,Hindi,0.6266
hi,Hindi,E_joint,classification_macro_f1,Indonesian,0.6044
hi,Hindi,E_joint,classification_macro_f1,Spanish,0.4881
hi,Hindi,E_joint,classification_macro_f1,Telugu,0.7575
hi,Hindi,E_joint,classification_macro_f1,Overall,0.5731
hi,Hindi,E_joint,e2e_span_overlap_f1,English,0.1957
hi,Hindi,E_joint,e2e_span_overlap_f1,Hindi,0.4488
hi,Hindi,E_joint,e2e_span_overlap_f1,Indonesian,0.342
hi,Hindi,E_joint,e2e_span_overlap_f1,Spanish,0.1659
hi,Hindi,E_joint,e2e_span_overlap_f1,Telugu,0.5789
hi,Hindi,E_joint,e2e_span_overlap_f1,Overall,0.2777
hi,Hindi,E_joint,joint_accuracy,Overall,0.4738
hi,Hindi,F_sequential,joint_f1,English,0.6445
hi,Hindi,F_sequential,joint_f1,Spanish,0.6092
hi,Hindi,F_sequential,joint_f1,Hindi,0.6935
hi,Hindi,F_sequential,joint_f1,Telugu,0.7199
hi,Hindi,F_sequential,joint_f1,Overall,0.6439
hi,Hindi,F_sequential,joint_f1_macro_avg,Overall,0.6668
hi,Hindi,F_sequential,classification_macro_f1,English,0.6788
hi,Hindi,F_sequential,classification_macro_f1,Hindi,0.7252
hi,Hindi,F_sequential,classification_macro_f1,Indonesian,0.7036
hi,Hindi,F_sequential,classification_macro_f1,Spanish,0.6676
hi,Hindi,F_sequential,classification_macro_f1,Telugu,0.735
hi,Hindi,F_sequential,classification_macro_f1,Overall,0.6942
hi,Hindi,F_sequential,e2e_span_overlap_f1,English,0.3094
hi,Hindi,F_sequential,e2e_span_overlap_f1,Hindi,0.6572
hi,Hindi,F_sequential,e2e_span_overlap_f1,Indonesian,0.3705
hi,Hindi,F_sequential,e2e_span_overlap_f1,Spanish,0.289
hi,Hindi,F_sequential,e2e_span_overlap_f1,Telugu,0.7088
hi,Hindi,F_sequential,e2e_span_overlap_f1,Overall,0.3732
hi,Hindi,F_sequential,joint_accuracy,Overall,0.5167
hi,Hindi,G_bio,joint_f1,English,0.3446
hi,Hindi,G_bio,joint_f1,Spanish,0.365
hi,Hindi,G_bio,joint_f1,Hindi,0.4464
hi,Hindi,G_bio,joint_f1,Telugu,0.4414
hi,Hindi,G_bio,joint_f1,Overall,0.3816
hi,Hindi,G_bio,e2e_span_overlap_f1,English,0.3827
hi,Hindi,G_bio,e2e_span_overlap_f1,Hindi,0.655
hi,Hindi,G_bio,e2e_span_overlap_f1,Indonesian,0.4694
hi,Hindi,G_bio,e2e_span_overlap_f1,Spanish,0.3474
hi,Hindi,G_bio,e2e_span_overlap_f1,Telugu,0.4098
hi,Hindi,G_bio,e2e_span_overlap_f1,Overall,0.4214
hi,Hindi,G_bio,joint_accuracy,Overall,0.0921
te,Telugu,A_pipeline,joint_f1,English,0.6669
te,Telugu,A_pipeline,joint_f1,Spanish,0.5943
te,Telugu,A_pipeline,joint_f1,Hindi,0.6063
te,Telugu,A_pipeline,joint_f1,Telugu,0.758
te,Telugu,A_pipeline,joint_f1,Overall,0.6639
te,Telugu,A_pipeline,joint_f1_macro_avg,Overall,0.6564
te,Telugu,A_pipeline,classification_macro_f1,English,0.7533
te,Telugu,A_pipeline,classification_macro_f1,Hindi,0.6591
te,Telugu,A_pipeline,classification_macro_f1,Indonesian,0.7767
te,Telugu,A_pipeline,classification_macro_f1,Spanish,0.7151
te,Telugu,A_pipeline,classification_macro_f1,Telugu,0.758
te,Telugu,A_pipeline,classification_macro_f1,Overall,0.7462
te,Telugu,A_pipeline,e2e_span_overlap_f1,English,0.3123
te,Telugu,A_pipeline,e2e_span_overlap_f1,Hindi,0.326
te,Telugu,A_pipeline,e2e_span_overlap_f1,Indonesian,0.4088
te,Telugu,A_pipeline,e2e_span_overlap_f1,Spanish,0.2199
te,Telugu,A_pipeline,e2e_span_overlap_f1,Telugu,0.7332
te,Telugu,A_pipeline,e2e_span_overlap_f1,Overall,0.3477
te,Telugu,A_pipeline,joint_accuracy,Overall,0.5241
te,Telugu,E_joint,joint_f1,English,0.5453
te,Telugu,E_joint,joint_f1,Spanish,0.4869
te,Telugu,E_joint,joint_f1,Hindi,0.5407
te,Telugu,E_joint,joint_f1,Telugu,0.7252
